Experiment,Sample ID *,Internal miRNA ID
Jackson,GSM134478,sirna-jackson2006wso-17
Jackson,GSM134501,sirna-jackson2006wso-17
Jackson,GSM133686,sirna-jackson2006wso-18
Jackson,GSM134477,sirna-jackson2006wso-18
Jackson,GSM134500,sirna-jackson2006wso-18
Jackson,GSM133694,sirna-jackson2006wso-19
Jackson,GSM134476,sirna-jackson2006wso-19
Jackson,GSM134499,sirna-jackson2006wso-19
Jackson,GSM133685,sirna-jackson2006wso-20
Jackson,GSM134475,sirna-jackson2006wso-20
Jackson,GSM134498,sirna-jackson2006wso-20
Jackson,GSM133693,sirna-jackson2006wso-21
Jackson,GSM134474,sirna-jackson2006wso-21
Jackson,GSM134497,sirna-jackson2006wso-21
Jackson,GSM133692,sirna-jackson2006wso-22
Jackson,GSM134473,sirna-jackson2006wso-22
Jackson,GSM134496,sirna-jackson2006wso-22
Jackson,GSM133691,sirna-jackson2006wso-23
Jackson,GSM134472,sirna-jackson2006wso-23
Jackson,GSM134495,sirna-jackson2006wso-23
Jackson,GSM133690,sirna-jackson2006wso-24
Jackson,GSM134471,sirna-jackson2006wso-24
Jackson,GSM134494,sirna-jackson2006wso-24
Jackson,GSM133687,sirna-jackson2006wso-25
Jackson,GSM134470,sirna-jackson2006wso-25
Jackson,GSM134493,sirna-jackson2006wso-25
Jackson,GSM133684,sirna-jackson2006wso-26
Jackson,GSM134469,sirna-jackson2006wso-26
Jackson,GSM134492,sirna-jackson2006wso-26
Jackson,GSM134467,sirna-jackson2006wso-27
Jackson,GSM134466,sirna-jackson2006wso-28
Jackson,GSM134488,sirna-jackson2006wso-30
Jackson,GSM134491,sirna-jackson2006wso-31
Jackson,GSM134511,sirna-jackson2006wso-4
Jackson,GSM134512,sirna-jackson2006wso-5
Jackson,GSM133688,sirna-jackson2006wso-7
Jackson,GSM134487,sirna-jackson2006wso-7
Jackson,GSM134489,sirna-jackson2006wso-7
Jackson,GSM134510,sirna-jackson2006wso-7
Jackson,GSM133689,sirna-jackson2006wso-8
Jackson,GSM134486,sirna-jackson2006wso-8
Jackson,GSM134490,sirna-jackson2006wso-8
Jackson,GSM134509,sirna-jackson2006wso-8
Linsley,GSM156557,mirna-linsley2007-let-7c
Linsley,GSM156558,mirna-linsley2007-let-7c
Linsley,GSM156544,mirna-linsley2007-miR-103
Linsley,GSM156580,mirna-linsley2007-miR-103
Linsley,GSM156523,mirna-linsley2007-miR-15a
Linsley,GSM156545,mirna-linsley2007-miR-15a
Linsley,GSM156549,mirna-linsley2007-miR-15a
Linsley,GSM156577,mirna-linsley2007-miR-15a
Linsley,GSM156522,mirna-linsley2007-miR-16
Linsley,GSM156546,mirna-linsley2007-miR-16
Linsley,GSM156550,mirna-linsley2007-miR-16
Linsley,GSM156579,mirna-linsley2007-miR-16
Linsley,GSM156553,mirna-linsley2007-miR-17-5p
Linsley,GSM156555,mirna-linsley2007-miR-17-5p
Linsley,GSM156547,mirna-linsley2007-miR-192
Linsley,GSM156551,mirna-linsley2007-miR-192
Linsley,GSM156554,mirna-linsley2007-miR-20
Linsley,GSM156556,mirna-linsley2007-miR-20
Linsley,GSM156548,mirna-linsley2007-miR-215
Linsley,GSM156552,mirna-linsley2007-miR-215
Linsley,GSM156524,mirna-linsley2007_miR_106b
Linsley,GSM156543,mirna-linsley2007_miR_106b
Linsley,GSM156576,mirna-linsley2007_miR_106b
Linsley OME,GSM155603,mirna-linsley2007OME-miR-16
Linsley OME,GSM155605,mirna-linsley2007OME_miR_106b
Grimson,GSM210900,mirna-grimson2007-miR-122a
Grimson,GSM210901,mirna-grimson2007-miR-122a
Grimson,GSM210902,mirna-grimson2007-miR-128a
Grimson,GSM210903,mirna-grimson2007-miR-128a
Grimson,GSM210904,mirna-grimson2007-miR-132
Grimson,GSM210905,mirna-grimson2007-miR-132
Grimson,GSM210906,mirna-grimson2007-miR-133a
Grimson,GSM210907,mirna-grimson2007-miR-133a
Grimson,GSM210908,mirna-grimson2007-miR-142-3p
Grimson,GSM210909,mirna-grimson2007-miR-142-3p
Grimson,GSM210910,mirna-grimson2007-miR-148a
Grimson,GSM210911,mirna-grimson2007-miR-148a
Grimson,GSM210912,mirna-grimson2007-miR-181a
Grimson,GSM210913,mirna-grimson2007-miR-181a
Grimson,GSM210896,mirna-grimson2007-miR-7
Grimson,GSM210897,mirna-grimson2007-miR-7
Grimson,GSM210898,mirna-grimson2007-miR-9
Grimson,GSM210899,mirna-grimson2007-miR-9
Selbach LNA,psilac_p_let_7,psilac_p_let_7
Selbach MA,psilac_m_let_7_oe,psilac_m_let_7_oe
Selbach MA,psilac_m_mir1,psilac_m_mir1
Selbach MA,psilac_m_mir155,psilac_m_mir155
Selbach MA,psilac_m_mir16,psilac_m_mir16
Selbach MA,psilac_m_mir30,psilac_m_mir30
Selbach,psilac_p_let_7_oe,psilac_p_let_7_oe
Selbach,psilac_p_mir1,psilac_p_mir1
Selbach,psilac_p_mir155,psilac_p_mir155
Selbach,psilac_p_mir16,psilac_p_mir16
Selbach,psilac_p_mir30,psilac_p_mir30
